x;y;z;phenomenonTimeUTC;thingTitle;sensorFOI;sensorType;resultTimeUTC;TempResult;HumidityResult
12.9434943402;47.9438516439;404.511;2019-01-28T20:13:04Z;Temperature/Humidity 000E9569A240A6;weather;2019-01-28T20:13:04Z;27.1;47;
13.038691;47.823445;427;2019-01-28T20:13:00Z;Weather Station KOMBI_ISPACE;weather;2019-01-28T20:13:00Z;21.5;30;
13.038857;47.823316;426;2019-01-28T20:13:00Z;Temperature/Humidity GAA0164728;weather;2019-01-28T20:13:00Z;18.8;35;
13.038742;47.823269;426;2019-01-28T20:13:00Z;Temperature/Humidity GAA0164731;weather;2019-01-28T20:13:00Z;22.3;31;
13.0389;47.823242;426;2019-01-28T20:13:00Z;Temperature/Humidity GAA0164717;weather;2019-01-28T20:13:00Z;18.8;35;
13.038683;47.823377;426;2019-01-28T20:13:01Z;Temperature/Humidity GAA0164642;weather;2019-01-28T20:13:01Z;13.9;33;
13.038881;47.823282;426;2019-01-28T20:13:05Z;Temperature/Humidity GAA0164765;weather;2019-01-28T20:13:05Z;13.9;33;
12.9434749845;47.9438691256;404.511;2019-01-28T20:13:04Z;Temperature/Humidity MEQ1651862;weather;2019-01-28T20:13:04Z;19.8;32;
12.9434466547;47.9438985318;401;2019-01-28T20:13:04Z;Temperature/Humidity 000E9569A23B83;weather;2019-01-28T20:13:04Z;21.3;33;
12.94337948;47.94384149;400;2019-01-28T20:13:05Z;Temperature/Humidity NEQ1381512;weather;2019-01-28T20:13:05Z;20.2;32;
